10	300
Conrad_Black Conrad_Black 6
Caio_Blat Caio_Blat 6
Frank_Caliendo Frank_Caliendo 6
Frank_Caliendo Frank_Caliendo 6
Barbara_Becker Ed_Smart 6
Ed_Smart Aaron_Eckhart 6
Barbara_Becker Claire_Danes 6
Adriana_Lima BB_King 6
Caio_Blat Caio_Blat 6
Bill_Frist Bill_Frist 6
Barbara_Becker Barbara_Becker 6
Claire_Danes Claire_Danes 6
Frank_Caliendo Bill_Frist 6
Adriana_Lima Cathy_Freeman 6
Bill_Frist Barbara_Becker 6
Cathy_Freeman liujunling 6
Conrad_Black Conrad_Black 6
Adriana_Lima Adriana_Lima 6
Aaron_Eckhart Aaron_Eckhart 6
Caio_Blat Caio_Blat 6
Dai_Bachtiar Conrad_Black 6
Barbara_Becker Dai_Bachtiar 6
Aaron_Eckhart Adriana_Lima 6
Ed_Smart Conrad_Black 6
Jaap_de_Hoop_Scheffer Jaap_de_Hoop_Scheffer 6
Bill_Frist Bill_Frist 6
Bill_Frist Bill_Frist 6
Claire_Danes Claire_Danes 6
Jaap_de_Hoop_Scheffer liujunling 6
Dai_Bachtiar BB_King 6
Barbara_Becker Cathy_Freeman 6
liujunling Cathy_Freeman 6
Cathy_Freeman Cathy_Freeman 6
Ed_Smart Ed_Smart 6
Bill_Frist Bill_Frist 6
Barbara_Becker Barbara_Becker 6
Dai_Bachtiar Claire_Danes 6
Jaap_de_Hoop_Scheffer Adriana_Lima 6
liujunling Aaron_Eckhart 6
Adriana_Lima Ed_Smart 6
Cathy_Freeman Cathy_Freeman 6
Claire_Danes Claire_Danes 6
Adriana_Lima Adriana_Lima 6
Adriana_Lima Adriana_Lima 6
Dai_Bachtiar Caio_Blat 6
Aaron_Eckhart Dai_Bachtiar 6
Barbara_Becker Aaron_Eckhart 6
Cathy_Freeman Adriana_Lima 6
Aaron_Eckhart Aaron_Eckhart 6
Adriana_Lima Adriana_Lima 6
Frank_Caliendo Frank_Caliendo 6
Claire_Danes Claire_Danes 6
liujunling BB_King 6
Claire_Danes Conrad_Black 6
Aaron_Eckhart Caio_Blat 6
liujunling Conrad_Black 6
liujunling liujunling 6
Caio_Blat Caio_Blat 6
Ed_Smart Ed_Smart 6
Jaap_de_Hoop_Scheffer Jaap_de_Hoop_Scheffer 6
BB_King Frank_Caliendo 6
Frank_Caliendo Caio_Blat 6
BB_King Jaap_de_Hoop_Scheffer 6
Conrad_Black Frank_Caliendo 6
Barbara_Becker Barbara_Becker 6
Claire_Danes Claire_Danes 6
Conrad_Black Conrad_Black 6
liujunling liujunling 6
Jaap_de_Hoop_Scheffer Barbara_Becker 6
Conrad_Black Barbara_Becker 6
Aaron_Eckhart Conrad_Black 6
Barbara_Becker Cathy_Freeman 6
BB_King BB_King 6
Adriana_Lima Adriana_Lima 6
Conrad_Black Conrad_Black 6
Claire_Danes Claire_Danes 6
Aaron_Eckhart Dai_Bachtiar 6
Conrad_Black Ed_Smart 6
liujunling Aaron_Eckhart 6
Adriana_Lima Frank_Caliendo 6
